Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,914.0,18.0,36.0,1773.0,0.1,27.00800000000001,0.0,0.0,315.6407277584076,,,,,,,,,,,,,,,,,,,,,11.156265519365627,9.17454302838589,26.659667115867467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,986.0,19.0,72.0,1845.0,0.1,40.03099999999993,0.0,0.0,322.80197620391846,,,,,,,,,,,,,,,,,,,,,11.810393486731318,13.460189326738885,39.259130671167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1017.0,20.0,31.0,1876.0,0.1,22.00800000000001,0.0,0.0,326.1140582561493,,,,,,,,,,,,,,,,,,,,,8.813021703424106,7.63038589119659,21.778331211285213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,63.0,1.0,63.0,1939.0,0.1,54.00799999999998,0.0,0.0,486.52523827552795,,,,,,,,,,,,,,,,,,,,,24.001679726116752,17.06490094701221,52.60104366353806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,253.0,2.0,190.0,2129.0,0.1,182.00700000000003,0.0,0.0,505.27211332321167,,,,,,,,,,,,,,,,,,,,,83.47059273577808,50.08761067844022,166.48038166314694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,301.0,3.0,48.0,2177.0,0.1,36.010999999999974,0.0,0.0,510.2450714111328,,,,,,,,,,,,,,,,,,,,,14.460426343194122,12.086780045879935,35.38763942674074,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,372.0,4.0,71.0,2248.0,0.1,64.00600000000003,0.0,0.0,517.4491448402405,,,,,,,,,,,,,,,,,,,,,29.56829994701073,19.541733345605714,62.030649973058374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,536.0,5.0,164.0,2412.0,0.1,155.00800000000004,0.0,0.0,533.616132736206,,,,,,,,,,,,,,,,,,,,,70.95798298495194,43.70609092387014,143.6580632589225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,638.0,6.0,102.0,2514.0,0.1,94.00700000000003,0.0,0.0,543.6165292263031,,,,,,,,,,,,,,,,,,,,,43.33374366263969,27.83425807074858,89.76640118237434,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,710.0,7.0,72.0,2586.0,0.1,64.00700000000003,0.0,0.0,550.9022150039673,,,,,,,,,,,,,,,,,,,,,29.158594428650115,19.71164275069238,62.031582334223295,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
