Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
43,2.0,0.0,0.0,201.0,3.0,31.0,2275.0,0.1,14.705999999999994,0.0,0.0,539.44109582901,,,,,,,,,,,,,,,,,,,,,4.460691997968532,4.983560965676438,14.596897746658549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,260.0,4.0,59.0,2334.0,0.1,41.306999999999995,0.0,0.0,545.3518574237823,,,,,,,,,,,,,,,,,,,,,15.429767398292128,13.787818063631091,40.47755836266775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,306.0,5.0,46.0,2380.0,0.1,28.805000000000017,0.0,0.0,550.1450197696686,,,,,,,,,,,,,,,,,,,,,10.16110263196699,9.661623899207227,28.39434958374743,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,371.0,6.0,65.0,2445.0,0.1,40.105999999999995,0.0,0.0,556.5640912055969,,,,,,,,,,,,,,,,,,,,,15.684662662962584,12.31411455417625,39.16478733679369,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,418.0,7.0,47.0,2492.0,0.1,26.40700000000002,0.0,0.0,561.2680230140686,,,,,,,,,,,,,,,,,,,,,8.559462199978814,8.804768745121136,26.05679280541903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,467.0,8.0,49.0,2541.0,0.1,33.705999999999996,0.0,0.0,566.2074565887451,,,,,,,,,,,,,,,,,,,,,12.595354921979082,11.373607643609285,33.15510466304445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,533.0,9.0,66.0,2607.0,0.1,28.814000000000036,0.0,0.0,572.8182814121246,,,,,,,,,,,,,,,,,,,,,8.00601685271747,8.941729320569983,28.342259063588756,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,602.0,10.0,69.0,2676.0,0.1,43.40899999999999,0.0,0.0,579.5055875778198,,,,,,,,,,,,,,,,,,,,,15.617845348898534,13.977630423414316,42.41615857191125,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,815.0,11.0,213.0,2889.0,0.1,111.50800000000001,0.0,0.0,600.3365483283997,,,,,,,,,,,,,,,,,,,,,48.3595135333006,31.59639856805036,101.4101424922491,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,907.0,12.0,92.0,2981.0,0.1,44.81400000000001,0.0,0.0,609.2510924339294,,,,,,,,,,,,,,,,,,,,,12.918883743011827,14.10725700229454,43.71284467214251,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,995.0,13.0,88.0,3069.0,0.1,62.11099999999999,0.0,0.0,617.9029703140259,,,,,,,,,,,,,,,,,,,,,22.701372893396293,20.3394055216016,60.23368632434349,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1053.0,14.0,58.0,3127.0,0.1,42.605999999999995,0.0,0.0,623.6719725131989,,,,,,,,,,,,,,,,,,,,,16.646818521216098,14.106183072519354,41.72389058304498,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1104.0,15.0,51.0,3178.0,0.1,30.106000000000016,0.0,0.0,628.8254542350769,,,,,,,,,,,,,,,,,,,,,11.734820443327335,9.651719828634963,29.56662784645537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1142.0,16.0,38.0,3216.0,0.1,23.006000000000014,0.0,0.0,633.0522267818451,,,,,,,,,,,,,,,,,,,,,8.044830514796097,7.829705419531481,22.74576522512277,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1176.0,17.0,34.0,3250.0,0.1,15.706999999999994,0.0,0.0,636.4802474975586,,,,,,,,,,,,,,,,,,,,,4.676939503201798,5.236281166224253,15.579126731226866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1215.0,18.0,39.0,3289.0,0.1,21.80600000000002,0.0,0.0,640.4064033031464,,,,,,,,,,,,,,,,,,,,,7.131275053647523,7.399980108847851,21.571000703313672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1447.0,19.0,232.0,3521.0,0.1,166.507,0.0,0.0,662.4025599956512,,,,,,,,,,,,,,,,,,,,,77.387522835678,45.08845335675799,148.8506471457672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1537.0,20.0,90.0,3611.0,0.1,42.10700000000003,0.0,0.0,671.4177935123444,,,,,,,,,,,,,,,,,,,,,15.399322412485539,11.419797839001323,40.80262543111309,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,280.0,1.0,280.0,3891.0,0.1,148.94099999999995,0.0,0.0,944.8640036582947,,,,,,,,,,,,,,,,,,,,,62.071701500247585,42.663017060278804,131.82444063676365,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,373.0,2.0,93.0,3984.0,0.1,64.00800000000005,0.0,0.0,954.0410189628601,,,,,,,,,,,,,,,,,,,,,24.6099998883793,19.96167835281249,61.842893955397564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,415.0,3.0,42.0,4026.0,0.1,20.507000000000023,0.0,0.0,958.3414120674133,,,,,,,,,,,,,,,,,,,,,6.147306109768431,6.754424387774395,20.289371597212554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,607.0,4.0,192.0,4218.0,0.1,145.107,0.0,0.0,976.9108719825745,,,,,,,,,,,,,,,,,,,,,67.93136582425139,42.40520998826059,132.32870283871833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,666.0,5.0,59.0,4277.0,0.1,16.005999999999993,0.0,0.0,982.8626523017883,,,,,,,,,,,,,,,,,,,,,3.9056731382521135,4.293178208158434,15.807163805289898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,690.0,6.0,24.0,4301.0,0.1,10.604999999999995,0.0,0.0,985.5081787109375,,,,,,,,,,,,,,,,,,,,,3.1954264664785406,3.6735312588838047,10.549398011429362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,809.0,7.0,119.0,4420.0,0.1,93.30799999999999,0.0,0.0,997.0994415283203,,,,,,,,,,,,,,,,,,,,,38.34032907236808,28.204263523747983,88.92325843399776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,864.0,8.0,55.0,4475.0,0.1,26.906000000000027,0.0,0.0,1002.7105627059937,,,,,,,,,,,,,,,,,,,,,9.788478078613938,8.073535270141395,26.42044818159124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,889.0,9.0,25.0,4500.0,0.1,12.104999999999995,0.0,0.0,1005.3611898422241,,,,,,,,,,,,,,,,,,,,,3.7876050918208106,4.241329888845099,12.034366571480872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,937.0,10.0,48.0,4548.0,0.1,25.80700000000002,0.0,0.0,1010.1788763999939,,,,,,,,,,,,,,,,,,,,,9.002627580664019,8.476184440542584,25.425699850128538,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1000.0,11.0,63.0,4611.0,0.1,41.70799999999999,0.0,0.0,1016.396636724472,,,,,,,,,,,,,,,,,,,,,15.39041111682988,13.60443728832117,40.82000328620885,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1061.0,12.0,61.0,4672.0,0.1,34.105,0.0,0.0,1022.4024803638458,,,,,,,,,,,,,,,,,,,,,13.064082119832404,10.296220646332813,33.374807230343684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1110.0,13.0,49.0,4721.0,0.1,29.506000000000014,0.0,0.0,1027.3142492771149,,,,,,,,,,,,,,,,,,,,,11.194787728604858,9.430297139620171,29.015457300441938,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1197.0,14.0,87.0,4808.0,0.1,45.30500000000002,0.0,0.0,1036.1402761936188,,,,,,,,,,,,,,,,,,,,,17.26099779217878,12.85352165281816,43.891031363776634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1310.0,15.0,113.0,4921.0,0.1,88.50599999999997,0.0,0.0,1047.1258566379547,,,,,,,,,,,,,,,,,,,,,36.23804677119856,27.145319062607655,84.58017648765339,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1372.0,16.0,62.0,4983.0,0.1,31.80700000000002,0.0,0.0,1053.3830873966217,,,,,,,,,,,,,,,,,,,,,10.824481647198224,9.721987094355523,31.198247434495265,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1404.0,17.0,32.0,5015.0,0.1,13.306999999999993,0.0,0.0,1056.7082183361053,,,,,,,,,,,,,,,,,,,,,3.7416919873037138,4.400228510904451,13.213680002731744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1438.0,18.0,34.0,5049.0,0.1,17.706000000000017,0.0,0.0,1060.2320575714111,,,,,,,,,,,,,,,,,,,,,5.615615411537877,6.025849512103687,17.550151829514917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1509.0,19.0,71.0,5120.0,0.1,28.00500000000005,0.0,0.0,1067.3096318244934,,,,,,,,,,,,,,,,,,,,,10.748610160004509,7.187865889708337,27.29641421064677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1603.0,20.0,94.0,5214.0,0.1,73.80599999999998,0.0,0.0,1076.586377620697,,,,,,,,,,,,,,,,,,,,,30.923057302437908,23.370846719271764,71.0412440604477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,111.0,1.0,111.0,5325.0,0.1,62.106,0.0,0.0,1344.180969953537,,,,,,,,,,,,,,,,,,,,,24.341341795647732,18.21807150334706,59.52309773305149,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,165.0,2.0,54.0,5379.0,0.1,34.806999999999995,0.0,0.0,1349.8004026412964,,,,,,,,,,,,,,,,,,,,,12.297408663013002,11.645061249743906,34.21132837762416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
